gutenberg-11	We won’t talk about her any more if you’d rather not
gutenberg-11	As if _I_ would talk on such a subject
gutenberg-11	Our family always _hated_ cats: nasty, low, vulgar things
gutenberg-11	Don’t let me hear the name again
gutenberg-11	I won’t indeed
gutenberg-11	Are you—are you fond—of—of dogs
gutenberg-11	There is such a nice little dog near our house I should like to show you
gutenberg-11	A little bright-eyed terrier, you know, with oh, such long curly brown hair
gutenberg-11	He says it kills all the rats and—oh dear
gutenberg-11	I’m afraid I’ve offended it again
gutenberg-11	Do come back again, and we won’t talk about cats or dogs either, if you don’t like them
gutenberg-11	I am older than you, and must know better
gutenberg-11	Sit down, all of you, and listen to me
gutenberg-11	I’ll_ soon make you dry enough
gutenberg-11	are you all ready
gutenberg-11	This is the driest thing I know
gutenberg-11	Silence all round, if you please
gutenberg-11	Edwin and Morcar, the earls of Mercia and Northumbria
gutenberg-11	I beg your pardon
gutenberg-11	Did you speak
gutenberg-11	I thought you did
gutenberg-11	of course you know what ‘it’ means
gutenberg-11	I know what ‘it’ means well enough, when _I_ find a thing
gutenberg-11	it’s generally a frog or a worm
gutenberg-11	The question is, what did the archbishop find
gutenberg-11	found it advisable to go with Edgar Atheling to meet William and offer him the crown
gutenberg-11	William’s conduct at first was moderate
gutenberg-11	But the insolence of his Normans—’ How are you getting on now, my dear
gutenberg-11	As wet as ever
gutenberg-11	it doesn’t seem to dry me at all
gutenberg-11	In that case
gutenberg-11	I move that the meeting adjourn, for the immediate adoption of more energetic remedies
gutenberg-11	What I was going to say
gutenberg-11	was, that the best thing to get us dry would be a Caucus-race
gutenberg-11	What _is_ a Caucus-race
gutenberg-11	the best way to explain it is to do it
gutenberg-11	the exact shape doesn’t matter
gutenberg-11	One, two, three, and away
gutenberg-11	The race is over
gutenberg-11	But who has won
gutenberg-11	Everybody_ has won, and all must have prizes
gutenberg-11	But who is to give the prizes
gutenberg-11	Why, _she_, of course
gutenberg-11	But she must have a prize herself, you know
gutenberg-11	What else have you got in your pocket
gutenberg-11	Only a thimble
gutenberg-11	Hand it over here
gutenberg-11	We beg your acceptance of this elegant thimble
gutenberg-11	You promised to tell me your history, you know
gutenberg-11	and why it is you hate—C and D
gutenberg-11	Mine is a long and a sad tale
gutenberg-11	It _is_ a long tail, certainly
gutenberg-11	but why do you call it sad
gutenberg-11	Come, I’ll take no denial
gutenberg-11	We must have a trial: For really this morning I’ve nothing to do
gutenberg-11	You are not attending
gutenberg-11	What are you thinking of
gutenberg-11	you had got to the fifth bend, I think
gutenberg-11	I had _not
gutenberg-11	Oh, do let me help to undo it
gutenberg-11	I shall do nothing of the sort
gutenberg-11	You insult me by talking such nonsense
gutenberg-11	I didn’t mean it
gutenberg-11	But you’re so easily offended, you know
gutenberg-11	Please come back and finish your story
gutenberg-11	Yes, please do
gutenberg-11	What a pity it wouldn’t stay
gutenberg-11	Ah, my dear
gutenberg-11	Let this be a lesson to you never to lose _your_ temper
gutenberg-11	Hold your tongue, Ma
gutenberg-11	You’re enough to try the patience of an oyster
gutenberg-11	I wish I had our Dinah here, I know I do
gutenberg-11	She’d soon fetch it back
gutenberg-11	And who is Dinah, if I might venture to ask the question
gutenberg-11	Dinah’s our cat
gutenberg-11	And she’s such a capital one for catching mice you can’t think
gutenberg-11	And oh, I wish you could see her after the birds
gutenberg-11	Why, she’ll eat a little bird as soon as look at it
gutenberg-11	I really must be getting home
gutenberg-11	the night-air doesn’t suit my throat
gutenberg-11	Come away, my dears
gutenberg-11	It’s high time you were all in bed
gutenberg-11	I wish I hadn’t mentioned Dinah
gutenberg-11	Nobody seems to like her, down here, and I’m sure she’s the best cat in the world
gutenberg-11	Oh, my dear Dinah
gutenberg-11	I wonder if I shall ever see you any more
gutenberg-11	Oh my dear paws
gutenberg-11	Oh my fur and whiskers
gutenberg-11	She’ll get me executed, as sure as ferrets are ferrets
gutenberg-11	Where _can_ I have dropped them, I wonder
gutenberg-11	Why, Mary Ann, what _are_ you doing out here
gutenberg-11	Run home this moment, and fetch me a pair of gloves and a fan
gutenberg-11	He took me for his housemaid
gutenberg-11	How surprised he’ll be when he finds out who I am
gutenberg-11	But I’d better take him his fan and gloves—that is, if I can find them
gutenberg-11	How queer it seems
gutenberg-11	to be going messages for a rabbit
gutenberg-11	I suppose Dinah’ll be sending me on messages next
gutenberg-11	Come here directly, and get ready for your walk
gutenberg-11	Coming in a minute, nurse
gutenberg-11	But I’ve got to see that the mouse doesn’t get out
gutenberg-11	Only I don’t think
gutenberg-11	that they’d let Dinah stop in the house if it began ordering people about like that
gutenberg-11	I know _something_ interesting is sure to happen
gutenberg-11	whenever I eat or drink anything
gutenberg-11	so I’ll just see what this bottle does
gutenberg-11	Now I can do no more, whatever happens
gutenberg-11	What _will_ become of me
gutenberg-11	It was much pleasanter at home
gutenberg-11	when one wasn’t always growing larger and smaller, and being ordered about by mice and rabbits
gutenberg-11	I do wonder what _can_ have happened to me
gutenberg-11	There ought to be a book written about me, that there ought
gutenberg-11	And when I grow up, I’ll write one—but I’m grown up now
gutenberg-11	at least there’s no room to grow up any more _here
gutenberg-11	shall I _never_ get any older than I am now
gutenberg-11	That’ll be a comfort, one way—never to be an old woman—but then—always to have lessons to learn
gutenberg-11	Oh, I shouldn’t like _that
gutenberg-11	Oh, you foolish Alice
gutenberg-11	How can you learn lessons in here
gutenberg-11	Why, there’s hardly room for _you_, and no room at all for any lesson-books
gutenberg-11	Fetch me my gloves this moment
